timestamp,RED,IR,GREEN
1772597766.533000,758562.000000,1150728.000000,-3514.000000
1772597766.573000,758647.000000,1150996.000000,-2786.000000
1772597766.613000,758697.000000,1151154.000000,-2157.000000
1772597766.653000,759011.000000,1151654.000000,-1403.000000
1772597766.693000,759255.000000,1152058.000000,-692.000000
1772597766.733000,759053.000000,1151786.000000,-451.000000
1772597766.773000,758933.000000,1151363.000000,-1033.000000
1772597766.813000,758825.000000,1151322.000000,-1608.000000
1772597766.853000,758835.000000,1151449.000000,-2113.000000
1772597766.893000,758943.000000,1151494.000000,-2370.000000
1772597766.933000,758877.000000,1151504.000000,-2488.000000
1772597766.973000,758842.000000,1151609.000000,-2485.000000
1772597767.013000,758780.000000,1151545.000000,-2322.000000
1772597767.053000,758859.000000,1151773.000000,-2214.000000
1772597767.093000,758837.000000,1151797.000000,-2142.000000
1772597767.133000,758868.000000,1151938.000000,-2006.000000
1772597767.173000,758701.000000,1151837.000000,-1797.000000
1772597767.213000,758590.000000,1151693.000000,-1397.000000
1772597767.253000,758622.000000,1151706.000000,-1083.000000
1772597767.293000,758675.000000,1151863.000000,-601.000000
1772597767.333000,758828.000000,1152093.000000,-66.000000
1772597767.373000,758784.000000,1152132.000000,469.000000
1772597767.413000,758730.000000,1152049.000000,1069.000000
1772597767.453000,758654.000000,1151983.000000,1582.000000
1772597767.493000,758595.000000,1151982.000000,2231.000000
1772597767.533000,758541.000000,1152039.000000,2836.000000
1772597767.573000,758533.000000,1152007.000000,3556.000000
1772597767.613000,758327.000000,1151628.000000,3777.000000
1772597767.653000,758148.000000,1151108.000000,3207.000000
1772597767.693000,758150.000000,1151169.000000,2305.000000
1772597767.733000,758387.000000,1151564.000000,1675.000000
1772597767.773000,758368.000000,1151561.000000,1186.000000
1772597767.813000,758115.000000,1151223.000000,821.000000
1772597767.853000,758122.000000,1151186.000000,619.000000
1772597767.893000,758148.000000,1151311.000000,592.000000
1772597767.933000,758216.000000,1151283.000000,584.000000
1772597767.973000,758068.000000,1151079.000000,474.000000
1772597768.013000,757859.000000,1150847.000000,459.000000
1772597768.053000,757963.000000,1151038.000000,552.000000
1772597768.093000,758106.000000,1151265.000000,740.000000
1772597768.133000,757922.000000,1151197.000000,998.000000
1772597768.173000,757629.000000,1150745.000000,1375.000000
1772597768.213000,757691.000000,1150758.000000,1844.000000
1772597768.253000,757769.000000,1151050.000000,2268.000000
1772597768.293000,757714.000000,1151075.000000,2804.000000
1772597768.333000,757625.000000,1151135.000000,3351.000000
1772597768.373000,757631.000000,1151093.000000,3825.000000
1772597768.413000,757521.000000,1151018.000000,4429.000000
1772597768.453000,757589.000000,1151098.000000,5054.000000
1772597768.493000,757753.000000,1151318.000000,5617.000000
1772597768.533000,757591.000000,1151098.000000,6094.000000
1772597768.573000,757223.000000,1150320.000000,5645.000000
1772597768.613000,756913.000000,1149770.000000,4792.000000
1772597768.653000,756788.000000,1149495.000000,4067.000000
1772597768.693000,756747.000000,1149499.000000,3634.000000
1772597768.733000,756756.000000,1149466.000000,3238.000000
1772597768.773000,756694.000000,1149414.000000,3031.000000
1772597768.813000,756653.000000,1149472.000000,2969.000000
1772597768.853000,756606.000000,1149282.000000,2981.000000
1772597768.893000,756575.000000,1149329.000000,2847.000000
1772597768.933000,756555.000000,1149258.000000,2783.000000
1772597768.973000,756660.000000,1149420.000000,2902.000000
1772597769.013000,756790.000000,1149511.000000,3082.000000
1772597769.053000,756846.000000,1149606.000000,3327.000000
1772597769.093000,756965.000000,1149793.000000,3654.000000
1772597769.133000,757160.000000,1150047.000000,4047.000000
1772597769.173000,757348.000000,1150423.000000,4517.000000
1772597769.213000,757533.000000,1150705.000000,5083.000000
1772597769.253000,757736.000000,1151228.000000,5590.000000
1772597769.293000,758013.000000,1151630.000000,6158.000000
1772597769.333000,758058.000000,1151972.000000,6721.000000
1772597769.373000,758230.000000,1152342.000000,7332.000000
1772597769.413000,758170.000000,1152158.000000,7545.000000
1772597769.453000,757965.000000,1151787.000000,6988.000000
1772597769.493000,757967.000000,1151815.000000,6159.000000
1772597769.533000,758027.000000,1152035.000000,5583.000000
1772597769.573000,758108.000000,1152151.000000,5295.000000
1772597769.613000,758162.000000,1152295.000000,5028.000000
1772597769.653000,758296.000000,1152637.000000,5052.000000
1772597769.693000,758293.000000,1152857.000000,5190.000000
1772597769.733000,758315.000000,1152729.000000,5146.000000
1772597769.773000,758293.000000,1152774.000000,5156.000000
1772597769.813000,758270.000000,1152819.000000,5157.000000
1772597769.853000,758313.000000,1152991.000000,5321.000000
1772597769.893000,758410.000000,1153260.000000,5677.000000
1772597769.933000,758472.000000,1153371.000000,6022.000000
1772597769.973000,758522.000000,1153527.000000,6413.000000
1772597770.013000,758537.000000,1153605.000000,6826.000000
1772597770.053000,758502.000000,1153729.000000,7403.000000
1772597770.093000,758598.000000,1153907.000000,7865.000000
1772597770.133000,758652.000000,1154003.000000,8296.000000
1772597770.173000,758683.000000,1154159.000000,8952.000000
1772597770.213000,758714.000000,1154291.000000,9532.000000
1772597770.253000,758492.000000,1153986.000000,9744.000000
1772597770.293000,758204.000000,1153375.000000,9001.000000
1772597770.333000,758073.000000,1153142.000000,8103.000000
1772597770.373000,758027.000000,1153186.000000,7366.000000
1772597770.413000,758041.000000,1153179.000000,6774.000000
1772597770.453000,757926.000000,1153084.000000,6312.000000
1772597770.493000,757756.000000,1152985.000000,6054.000000
1772597770.533000,757875.000000,1153193.000000,5941.000000
1772597770.573000,757917.000000,1153176.000000,5873.000000
1772597770.613000,757844.000000,1153163.000000,5712.000000
1772597770.653000,757874.000000,1153104.000000,5584.000000
1772597770.693000,757842.000000,1153159.000000,5556.000000
1772597770.733000,757972.000000,1153368.000000,5795.000000
1772597770.773000,758046.000000,1153611.000000,5976.000000
1772597770.813000,758118.000000,1153814.000000,6379.000000
1772597770.853000,758054.000000,1153736.000000,6725.000000
1772597770.893000,758002.000000,1153697.000000,7069.000000
1772597770.933000,758063.000000,1153776.000000,7456.000000
1772597770.973000,758227.000000,1154154.000000,7896.000000
1772597771.013000,758153.000000,1154235.000000,8470.000000
1772597771.053000,758182.000000,1154204.000000,8904.000000
